time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-05 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,5.1,,,,,,,,solcast_historic,0,0,0
2024-01-05 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,4,,,,,,,,solcast_historic,0,0,0
2024-01-05 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,3.4,,,,,,,,solcast_historic,0,0,0
2024-01-05 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,3.4,,,,,,,,solcast_historic,0,0,0
2024-01-05 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,3.9,,,,,,,,solcast_historic,0,0,0
2024-01-05 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,4.7,,,,,,,,solcast_historic,0,0,0
2024-01-05 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,5.6,,,,,,,,solcast_historic,0,0,0
2024-01-05 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,6.3,,,,,,,,solcast_historic,0,0,0
2024-01-05 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,7,,,,,,,,,,,,6.6,,,,,,,,solcast_historic,0,0,0
2024-01-05 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,5,,,,,,6,,,,,,,,,,,,6.7,,,,,,,,solcast_historic,0,5,0
2024-01-05 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,7,,,,,,6,,,,,,,,,,,,6.4,,,,,,,,solcast_historic,0,7,0
2024-01-05 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,26,,,,,,7,,,,,,,,,,,,6.1,,,,,,,,solcast_historic,0,26,0
2024-01-05 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,36,,,,,,7,,,,,,,,,,,,6,,,,,,,,solcast_historic,0,36,0
2024-01-05 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,83,,,,,,7,,,,,,,,,,,,5.8,,,,,,,,solcast_historic,0,83,0
2024-01-05 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,66,,,,,,6,,,,,,,,,,,,5.7,,,,,,,,solcast_historic,0,66,0
2024-01-05 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,16,,,,,,6,,,,,,,,,,,,5.8,,,,,,,,solcast_historic,0,16,0
2024-01-05 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,6,,,,,,6,,,,,,,,,,,,5.7,,,,,,,,solcast_historic,0,6,0
2024-01-05 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,6,,,,,,,,,,,,5.1,,,,,,,,solcast_historic,0,0,0
2024-01-05 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,5,,,,,,,,solcast_historic,0,0,0
2024-01-05 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,5,,,,,,,,solcast_historic,0,0,0
2024-01-05 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.8,,,,,,,,solcast_historic,0,0,0
2024-01-05 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-05 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-05 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-06 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-06 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-06 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-06 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-06 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-06 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4,,,,,,,,solcast_historic,0,0,0
2024-01-06 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,3.9,,,,,,,,solcast_historic,0,0,0
2024-01-06 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,3.7,,,,,,,,solcast_historic,0,0,0
2024-01-06 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,3.6,,,,,,,,solcast_historic,0,0,0
2024-01-06 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,19,,,,,,4,,,,,,,,,,,,3.7,,,,,,,,solcast_historic,0,14,58
2024-01-06 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,97,,,,,,5,,,,,,,,,,,,3.8,,,,,,,,solcast_historic,0,48,352
2024-01-06 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,166,,,,,,5,,,,,,,,,,,,4.2,,,,,,,,solcast_historic,0,70,456
2024-01-06 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,177,,,,,,6,,,,,,,,,,,,4.7,,,,,,,,solcast_historic,0,113,258
2024-01-06 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,113,,,,,,6,,,,,,,,,,,,4.8,,,,,,,,solcast_historic,0,89,98
2024-01-06 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,139,,,,,,6,,,,,,,,,,,,4.7,,,,,,,,solcast_historic,0,99,180
2024-01-06 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,76,,,,,,5,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,65,71
2024-01-06 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,12,,,,,,5,,,,,,,,,,,,3.9,,,,,,,,solcast_historic,0,12,0
2024-01-06 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,3.9,,,,,,,,solcast_historic,0,0,0
2024-01-06 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,5,,,,,,,,,,,,4.1,,,,,,,,solcast_historic,0,0,0
2024-01-06 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-06 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,0,0
2024-01-06 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,4.6,,,,,,,,solcast_historic,0,0,0
2024-01-06 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,4,,,,,,,,,,,,4.3,,,,,,,,solcast_historic,0,0,0
2024-01-06 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,3,,,,,,,,,,,,4,,,,,,,,solcast_historic,0,0,0
