time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-11-27 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,506.2648956231483,523.288193149781,28399.68,19.65187106578531,8.677650726406391,3,low,physics_sdm,0
2024-11-27 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3274.920706615488,3385.040823666513,28399.68,120.56035853454378,12.157253742570475,3,low,physics_sdm,0
2024-11-27 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1688.8098816993347,1745.5965823586778,28399.68,63.092849211205476,10.175615490041569,3,low,physics_sdm,0
2024-11-27 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1409.5165472333558,1456.9119320599716,28399.68,52.749759176581634,8.818957212985573,3,low,physics_sdm,0
2024-11-27 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1243.2598587045795,1285.064816268538,28399.68,46.54390515580732,7.604962246751977,3,low,physics_sdm,0
2024-11-27 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1499.9258301637083,1550.361252203646,28399.68,55.85268618696878,7.925954696102371,3,low,physics_sdm,0
2024-11-27 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,261.9885774508108,270.79801602947197,28399.68,10.343090034623849,6.3566582770559945,3,low,physics_sdm,0
2024-11-27 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-27 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.5964868299852556e-43,3.71741969712015e-43,28399.68,0,6,3,low,physics_sdm,0
2024-11-27 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-27 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
